course_major,course_number,major_name,weight
CLAS,1210,Classics - AB,1
CLAS,1220,Classics - AB,1
CLAS,1310,Classics - AB,1
CLAS,1320,Classics - AB,1
HIST,1201B,Classics - AB,1
GREK,1050F,Classics - AB,1
GREK,1100E,Classics - AB,1
GREK,1100F,Classics - AB,1
GREK,1110I,Classics - AB,1
GREK,1111E,Classics - AB,1
GREK,1150,Classics - AB,1
GREK,1810,Classics - AB,1
LATN,1040A,Classics - AB,1
LATN,1060H,Classics - AB,1
LATN,1110F,Classics - AB,1
LATN,1110I,Classics - AB,1
LATN,1110O,Classics - AB,1
LATN,1110R,Classics - AB,1
LATN,1820,Classics - AB,1
CLAS,0010,Classics - AB,1
CLAS,0150,Classics - AB,1
CLAS,0210L,Classics - AB,1
CLAS,0660,Classics - AB,1
CLAS,0780,Classics - AB,1
CLAS,0810A,Classics - AB,1
CLAS,0820,Classics - AB,1
CLAS,0855,Classics - AB,1
CLAS,0900,Classics - AB,1
CLAS,0990,Classics - AB,1
CLAS,1120E,Classics - AB,1
CLAS,1120G,Classics - AB,1
CLAS,1120W,Classics - AB,1
CLAS,1120X,Classics - AB,1
CLAS,1750L,Classics - AB,1
CLAS,1770,Classics - AB,1
GREK,0100,Classics - AB,1
GREK,0110,Classics - AB,1
GREK,0200,Classics - AB,1
GREK,0300,Classics - AB,1
GREK,0400,Classics - AB,1
LATN,0100,Classics - AB,1
LATN,0110,Classics - AB,1
LATN,0200,Classics - AB,1
LATN,0300,Classics - AB,1
LATN,0400,Classics - AB,1
SANS,0100,Classics - AB,1
SANS,0200,Classics - AB,1
GREK,1810,Classics - AB (Greek),1
GREK,1820,Classics - AB (Greek),1
CLAS,1210,Classics - AB (Greek),1
CLAS,1220,Classics - AB (Greek),1
GREK,1050F,Classics - AB (Greek),1
GREK,1100E,Classics - AB (Greek),1
GREK,1100F,Classics - AB (Greek),1
GREK,1110I,Classics - AB (Greek),1
GREK,1111E,Classics - AB (Greek),1
GREK,1150,Classics - AB (Greek),1
GREK,2000A,Classics - AB (Greek),1
GREK,2110E,Classics - AB (Greek),1
GREK,2150,Classics - AB (Greek),1
LATN,1810,Classics - AB (Latin),1
LATN,1820,Classics - AB (Latin),1
CLAS,1310,Classics - AB (Latin),1
CLAS,1320,Classics - AB (Latin),1
HIST,1201B,Classics - AB (Latin),1
LATN,1040A,Classics - AB (Latin),1
LATN,1060H,Classics - AB (Latin),1
LATN,1110F,Classics - AB (Latin),1
LATN,1110I,Classics - AB (Latin),1
LATN,1110O,Classics - AB (Latin),1
LATN,1110R,Classics - AB (Latin),1
LATN,2010H,Classics - AB (Latin),1
LATN,2080H,Classics - AB (Latin),1
LATN,1810,Classics - AB (Greek and Latin),1
LATN,1820,Classics - AB (Greek and Latin),1
GREK,1810,Classics - AB (Greek and Latin),1
GREK,1820,Classics - AB (Greek and Latin),1
CLAS,1210,Classics - AB (Greek and Latin),1
CLAS,1220,Classics - AB (Greek and Latin),1
CLAS,1310,Classics - AB (Greek and Latin),1
CLAS,1320,Classics - AB (Greek and Latin),1
